"","Organism.name","Year","Source","Taxon","Assembly"
"sams","Staphylococcus aureus MS4","2017","GenBank","1280","GCA_001456215.1"
"suh","Staphylococcus argenteus","2012","GenBank","985002","GCA_000236925.1"
"sep","Staphylococcus epidermidis ATCC 12228","2003","RefSeq","176280","GCF_000007645.1"
"ser","Staphylococcus epidermidis RP62A","2005","GenBank","176279","GCA_000011925.1"
"sepp","Staphylococcus epidermidis PM221","2014","GenBank","1449752","GCA_000751035.1"
"seps","Staphylococcus epidermidis SEI","2014","GenBank","1282","GCA_000759555.1"
"sha","Staphylococcus haemolyticus JCSC1435","2005","GenBank","279808","GCA_000009865.1"
"shh","Staphylococcus haemolyticus Sh29/312/L2","2015","GenBank","1283","GCA_000972725.1"
"ssp","Staphylococcus saprophyticus","2005","GenBank","342451","GCA_000010125.1"
"sca","Staphylococcus carnosus","2009","GenBank","396513","GCA_000009405.1"
"slg","Staphylococcus lugdunensis HKU09-01","2010","GenBank","698737","GCA_000025085.1"
"sln","Staphylococcus lugdunensis N920143","2012","GenBank","1034809","GCA_000270465.1"
"ssd","Staphylococcus pseudintermedius HKU10-03","2011","GenBank","937773","GCA_000185885.1"
"sdt","Staphylococcus pseudintermedius ED99","2012","GenBank","984892","GCA_000189495.1"
"swa","Staphylococcus warneri","2013","GenBank","1194526","GCA_000332735.1"
"spas","Staphylococcus pasteuri","2013","GenBank","1276282","GCA_000494875.1"
"sxy","Staphylococcus xylosus HKUOPL8","2014","GenBank","1288","GCA_000706685.1"
"sxl","Staphylococcus xylosus SMQ-121","2014","GenBank","1288","GCA_000709415.1"
"sxo","Staphylococcus xylosus C2a","2015","GenBank","1288","GCA_000953575.1"
"shu","Staphylococcus hyicus","2015","GenBank","1284","GCA_000816085.1"
"scap","Staphylococcus capitis","2015","GenBank","72758","GCA_001028645.1"
"ssch","Staphylococcus schleiferi 1360-13","2015","GenBank","1295","GCA_001188855.1"
"sscz","Staphylococcus schleiferi 2317-03","2016","GenBank","1295","GCA_001188915.1"
"sagq","Staphylococcus agnetis","2016","GenBank","985762","GCA_001442815.1"
"seqo","Staphylococcus equorum","2016","GenBank","246432","GCA_001432245.1"
"ssif","Staphylococcus simulans","2016","GenBank","1286","GCA_001559115.2"
"scv","Staphylococcus condimenti","2017","GenBank","70255","GCA_001618885.1"
"spet","Staphylococcus pettenkoferi","2017","GenBank","170573","GCA_002208805.2"
"slz","Staphylococcus lutrae","2017","GenBank","155085","GCA_002101335.1"
"scoh","Staphylococcus cohnii","2017","GenBank","29382","GCA_001990205.1"
"sscu","Staphylococcus sciuri","2017","GenBank","1296","GCA_002209165.2"
"snl","Staphylococcus nepalensis","2018","GenBank","214473","GCA_002442895.1"
"mcl","Macrococcus caseolyticus","2009","GenBank","458233","GCA_000010585.1"
"mcak","Macrococcus canis","2017","GenBank","1855823","GCA_002119805.1"
"macr","Macrococcus sp. IME1552","2017","GenBank","1898474","GCA_002313045.1"
"shv","Salinicoccus halodurans","2015","GenBank","407035","GCA_001005905.1"
"sbac","Auricoccus indicus","2017","GenBank","1849491","GCA_001989575.1"
"lmo","Listeria monocytogenes EGD-e","2001","RefSeq","169963","GCF_000196035.1"
"lmf","Listeria monocytogenes F2365","2004","GenBank","265669","GCA_000008285.1"
"lmh","Listeria monocytogenes HCC23","2008","GenBank","552536","GCA_000021185.1"
"lmc","Listeria monocytogenes CLIP 80459","2009","GenBank","568819","GCA_000026705.1"
"lmn","Listeria monocytogenes 08-5578","2010","GenBank","653938","GCA_000093125.2"
"lmy","Listeria monocytogenes 08-5923","2010","GenBank","637381","GCA_000022925.1"
"lmt","Listeria monocytogenes 10403S","2012","GenBank","393133","GCA_000168695.2"
"lmg","Listeria monocytogenes FSL R2-561","2012","GenBank","393126","GCA_000168575.2"
"lms","Listeria monocytogenes Finland 1998","2012","GenBank","393127","GCA_000168595.2"
"lmj","Listeria monocytogenes J0161","2012","GenBank","393130","GCA_000168635.2"
"lmq","Listeria monocytogenes M7","2012","GenBank","1030009","GCA_000218305.1"
"lml","Listeria monocytogenes L99","2012","GenBank","563174","GCA_000209755.1"
"lmp","Listeria monocytogenes 07PF0776","2012","GenBank","1126011","GCA_000258905.1"
"lmw","Listeria monocytogenes SLCC2755","2012","GenBank","932919","GCA_000197755.2"
"lmx","Listeria monocytogenes SLCC2372","2012","GenBank","932920","GCA_000210815.2"
"lmz","Listeria monocytogenes serotype 7 SLCC2482","2012","GenBank","863767","GCA_000210795.2"
"lmon","Listeria monocytogenes SLCC2376","2012","GenBank","882097","GCA_000307065.1"
"lmoc","Listeria monocytogenes SLCC5850","2012","GenBank","882096","GCA_000307045.1"
"lmos","Listeria monocytogenes SLCC7179","2012","GenBank","879090","GCA_000306985.1"
"lmoo","Listeria monocytogenes SLCC2378","2012","GenBank","879088","GCA_000307615.1"
"lmoy","Listeria monocytogenes SLCC2479","2012","GenBank","882020","GCA_000307005.1"
"lmot","Listeria monocytogenes SLCC2540","2012","GenBank","879089","GCA_000306905.1"
"lmoa","Listeria monocytogenes ATCC 19117","2012","GenBank","882095","GCA_000307025.1"
"lmol","Listeria monocytogenes L312","2012","GenBank","882094","GCA_000307085.1"
"lmog","Listeria monocytogenes serotype 4b LL195","2013","GenBank","1230340","GCA_000318055.1"
"lmoe","Listeria monocytogenes La111","2013","GenBank","1234141","GCA_000382925.1"
"lmob","Listeria monocytogenes N53-1","2013","GenBank","1234142","GCA_000382945.1"
"lmoj","Listeria monocytogenes J1-220","2013","GenBank","930781","GCA_000195435.4"
"lmoz","Listeria monocytogenes J1816","2013","GenBank","930782","GCA_000195395.5"
"lmod","Listeria monocytogenes EGD","2013","GenBank","1334565","GCA_000582845.1"
"lmow","Listeria monocytogenes WSLC1001","2014","GenBank","1457187","GCA_000568475.1"
"lmox","Listeria monocytogenes WSLC1042","2014","GenBank","1457188","GCA_000568935.1"
"lmoq","Listeria monocytogenes 6179","2014","GenBank","1288295","GCA_000577745.1"
"lmr","Listeria monocytogenes R479a","2014","GenBank","1437838","GCA_000613085.1"
"lmok","Listeria monocytogenes NE dc2014","2014","GenBank","1639","GCA_000600015.1"
"lmv","Listeria monocytogenes CFSAN006122","2014","GenBank","1639","GCA_000681515.1"
"lmom","Listeria monocytogenes Lm60","2014","GenBank","1639","GCA_000746625.1"
"lin","Listeria innocua","2001","GenBank","272626","GCA_000195795.1"
"lwe","Listeria welshimeri","2006","GenBank","386043","GCA_000060285.1"
"lsg","Listeria seeligeri","2010","GenBank","683837","GCA_000027145.1"
"liv","Listeria ivanovii subsp. ivanovii PAM 55","2011","GenBank","881621","GCA_000252975.1"
"lii","Listeria ivanovii subsp. ivanovii WSLC 3010","2014","GenBank","202751","GCA_000763515.1"
"liw","Listeria ivanovii WSLC3009","2014","GenBank","1457190","GCA_000565155.1"
"lia","Listeria ivanovii subsp. londoniensis WSLC 30167","2014","GenBank","202752","GCA_000763475.1"
"lio","Listeria ivanovii subsp. londoniensis WSLC 30151","2014","GenBank","202752","GCA_000763495.1"
"bths","Brochothrix thermosphacta","2017","GenBank","2756","GCA_002381265.1"
"esi","Exiguobacterium sibiricum","2008","GenBank","262543","GCA_000019905.1"
"eat","Exiguobacterium sp. AT1b","2009","GenBank","360911","GCA_000023045.1"
"ean","Exiguobacterium antarcticum","2012","GenBank","1087448","GCA_000299435.1"
"exm","Exiguobacterium sp. MH3","2013","GenBank","1399115","GCA_000496635.1"
"exu","Exiguobacterium sp. U13-1","2016","GenBank","1849031","GCA_001750115.1"
"got","Gemella sp. oral taxon 928","2016","GenBank","1785995","GCA_001553915.1"
"bbe","Brevibacillus brevis","2009","GenBank","358681","GCA_000010165.1"
"blr","Brevibacillus laterosporus","2015","GenBank","1042163","GCA_000219535.3"
"bfm","Brevibacillus formosus","2017","GenBank","54913","GCA_002215075.1"
"pjd","Paenibacillus sp. JDR-2","2009","GenBank","324057","GCA_000023585.1"
"gym","Paenibacillus sp. Y412MC10","2009","GenBank","481743","GCA_000024685.1"
"ppy","Paenibacillus polymyxa E681","2010","GenBank","349520","GCA_000146875.2"
"ppm","Paenibacillus polymyxa SC2","2010","GenBank","886882","GCA_000164985.2"
"ppo","Paenibacillus polymyxa M1","2012","GenBank","1052684","GCA_000237325.1"
"ppol","Paenibacillus polymyxa CR1","2013","GenBank","1429244","GCA_000507205.2"
"ppq","Paenibacillus polymyxa SQR-21","2014","GenBank","1413214","GCA_000597985.1"
"ppoy","Paenibacillus polymyxa Sb3-1","2015","GenBank","1406","GCA_000819665.1"
"pms","Paenibacillus mucilaginosus KNP414","2011","GenBank","1036673","GCA_000218915.1"
"pmq","Paenibacillus mucilaginosus 3016","2012","GenBank","1116391","GCA_000250655.1"
"pmw","Paenibacillus mucilaginosus K02","2012","GenBank","997761","GCA_000258535.2"
"pta","Paenibacillus terrae","2012","GenBank","985665","GCA_000235585.1"
"plv","Paenibacillus larvae","2013","GenBank","697284","GCA_000511405.1"
"psab","Paenibacillus sabinae","2014","GenBank","1268072","GCA_000612505.1"
"pdu","Paenibacillus durus","2014","GenBank","44251","GCA_000756615.1"
"pbd","Paenibacillus borealis","2014","GenBank","160799","GCA_000758665.1"
"pgm","Paenibacillus graminis","2014","GenBank","189425","GCA_000758705.1"
"pod","Paenibacillus odorifer","2014","GenBank","189426","GCA_000758725.1"
"paen","Paenibacillus sp. FSL P4-0081","2014","GenBank","1536769","GCA_000758565.1"
"paef","Paenibacillus sp. FSL R5-0345","2014","GenBank","1536770","GCA_000758585.1"
"paeq","Paenibacillus sp. FSL R5-0912","2014","GenBank","1536771","GCA_000758605.1"
"pste","Paenibacillus stellifer","2014","GenBank","169760","GCA_000758685.1"
"paea","Paenibacillus sp. FSL R7-0273","2014","GenBank","1536772","GCA_000758625.1"
"paee","Paenibacillus sp. FSL R7-0331","2014","GenBank","1536773","GCA_000758645.1"
"paeh","Paenibacillus sp. FSL H7-0357","2014","GenBank","1536774","GCA_000758525.1"
"paej","Paenibacillus sp. FSL H7-0737","2014","GenBank","1536775","GCA_000758545.1"
"pbj","Paenibacillus beijingensis","2015","GenBank","1126833","GCA_000961095.1"
"pih","Paenibacillus sp. IHBB 10380","2015","GenBank","1566358","GCA_000949425.1"
"pri","Paenibacillus riograndensis","2015","GenBank","1073571","GCA_000981585.1"
"ppeo","Paenibacillus peoriae","2015","GenBank","59893","GCA_001272655.2"
"pnp","Paenibacillus naphthalenovorans","2016","GenBank","162209","GCA_001465255.1"
"pow","Paenibacillus sp. 32O-W","2016","GenBank","1695218","GCA_001465275.1"
"pbv","Paenibacillus bovis","2016","GenBank","1616788","GCA_001421015.2"
"pxl","Paenibacillus xylanexedens","2017","GenBank","528191","GCA_001908275.1"
"pyg","Paenibacillus yonginensis","2017","GenBank","1462996","GCA_001685395.1"
"pswu","Paenibacillus swuensis","2017","GenBank","1178515","GCA_001644605.1"
"pdh","Paenibacillus donghaensis","2017","GenBank","414771","GCA_002192415.1"
"pib","Paenibacillus ihbetae","2017","GenBank","1870820","GCA_002741055.1"
"pcx","Paenibacillus crassostreae","2017","GenBank","1763538","GCA_001857945.1"
"pkb","Paenibacillus kribbensis","2018","GenBank","172713","GCA_002240415.1"
"paih","Paenibacillus sp. IHB B 3084","2018","GenBank","867076","GCA_001447315.1"
"tco","Thermobacillus composti","2012","GenBank","717605","GCA_000227705.3"
"anx","Aneurinibacillus sp. XH2","2016","GenBank","1450761","GCA_001439585.2"
"asoc","Aneurinibacillus soli","2017","GenBank","1500254","GCA_002355375.1"
"aac","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","2009","GenBank","521098","GCA_000024285.1"
"aad","Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1","2012","GenBank","1048834","GCA_000219875.1"
"bts","Kyrpidia tusciae","2010","GenBank","562970","GCA_000092905.1"
"kyr","Kyrpidia sp. EA-1","2017","GenBank","2055160","GCA_002804065.1"
"tum","Tumebacillus avium","2017","GenBank","1903704","GCA_002162355.1"
"tab","Tumebacillus algifaecis","2017","GenBank","1214604","GCA_002243515.1"
"siv","Solibacillus silvestris StLB046","2012","GenBank","1002809","GCA_000271325.1"
"ssil","Solibacillus silvestris DSM 12223","2016","GenBank","76853","GCA_001586195.1"
"sob","Solibacillus sp. R5-41","2017","GenBank","2048654","GCA_002736105.1"
"pln","Planococcus sp. PAMC 21323","2015","GenBank","1526927","GCA_000785555.1"
"pku","Planococcus kocurii","2016","GenBank","1374","GCA_001465835.2"
"prt","Planococcus rifietoensis","2016","GenBank","200991","GCA_001465795.2"
"pll","Planococcus sp. L10.15","2016","GenBank","1302659","GCA_001186155.3"
"pana","Planococcus antarcticus","2016","GenBank","1185653","GCA_001687565.2"
"pdg","Planococcus donghaensis","2016","GenBank","414778","GCA_001687665.2"
"phc","Planococcus halocryophilus","2016","GenBank","1215089","GCA_001687585.2"
"pmar","Planococcus maritimus","2017","GenBank","192421","GCA_001999905.1"
"ppla","Planococcus plakortidis","2017","GenBank","1038856","GCA_001687605.2"
"pfae","Planococcus faecalis","2017","GenBank","1598147","GCA_002009235.1"
"jeo","Jeotgalibacillus malaysiensis","2015","GenBank","1508404","GCA_000818095.1"
"kur","Kurthia sp. 11kri321","2016","GenBank","1750719","GCA_001534765.1"
"spsy","Sporosarcina psychrophila","2016","GenBank","1476","GCA_001590685.1"
"spor","Sporosarcina sp. P33","2017","GenBank","1930764","GCA_002077155.1"
"spop","Sporosarcina sp. P37","2017","GenBank","1930546","GCA_002109365.1"
"sure","Sporosarcina ureae","2017","GenBank","1571","GCA_002109325.1"
"rst","Rummeliibacillus stabekisii","2016","GenBank","241244","GCA_001617605.1"
"ntr","Novibacillus thermophilus","2017","GenBank","1471761","GCA_002005165.1"
"lfb","Laceyella sp. FBKL4.010","2018","GenBank","37482","GCA_002893785.1"
"lla","Lactococcus lactis subsp. lactis Il1403","2001","RefSeq","272623","GCF_000006865.1"
"llk","Lactococcus lactis subsp. lactis KF147","2009","GenBank","684738","GCA_000025045.1"
"llt","Lactococcus lactis subsp. lactis CV56","2012","GenBank","929102","GCA_000192705.1"
"lls","Lactococcus lactis subsp. lactis IO-1","2013","GenBank","1046624","GCA_000344575.1"
"lld","Lactococcus lactis subsp. lactis KLDS 4.0325","2013","GenBank","1399116","GCA_000479375.3"
"llx","Lactococcus lactis subsp. lactis NCDO 2118","2014","GenBank","1117941","GCA_000478255.2"
"llc","Lactococcus lactis subsp. cremoris SK11","2006","GenBank","272622","GCA_000014545.1"
"llm","Lactococcus lactis subsp. cremoris MG1363","2007","GenBank","416870","GCA_000009425.1"
"llr","Lactococcus lactis subsp. cremoris A76","2012","GenBank","1104322","GCA_000236475.1"
"lln","Lactococcus lactis subsp. cremoris NZ9000","2012","GenBank","746361","GCA_000143205.1"
"lli","Lactococcus lactis subsp. cremoris UC509.9","2013","GenBank","1111678","GCA_000312685.1"
"llw","Lactococcus lactis subsp. cremoris KW2","2013","GenBank","1295826","GCA_000468955.1"
"llj","Lactococcus lactis AI06","2014","GenBank","1358","GCA_000761115.1"
"lgr","Lactococcus garvieae ATCC 49156","2011","GenBank","420889","GCA_000269925.1"
"lgv","Lactococcus garvieae Lg2","2012","GenBank","420890","GCA_000269945.1"
"lpk","Lactococcus piscium","2015","GenBank","297352","GCA_000981525.1"
"lrn","Lactococcus raffinolactis","2018","GenBank","1366","GCA_002310475.1"
"spy","Streptococcus pyogenes M1 GAS (serotype M1)","2001","RefSeq","160490","GCF_000006785.2"
"spz","Streptococcus pyogenes MGAS5005 (serotype M1)","2005","GenBank","293653","GCA_000011765.2"
"spym","Streptococcus pyogenes M1 476 (serotype M1)","2013","GenBank","1207470","GCA_000349925.2"
"spm","Streptococcus pyogenes MGAS8232 (serotype M18)","2002","GenBank","186103","GCA_000007285.1"
"spg","Streptococcus pyogenes MGAS315 (serotype M3)","2002","GenBank","198466","GCA_000007425.1"
"sps","Streptococcus pyogenes SSI-1 (serotype M3)","2003","GenBank","193567","GCA_000011285.1"
"sph","Streptococcus pyogenes MGAS10270 (serotype M2)","2006","GenBank","370552","GCA_000013505.1"
"spi","Streptococcus pyogenes MGAS10750 (serotype M4)","2006","GenBank","370554","GCA_000013545.1"
"spj","Streptococcus pyogenes MGAS2096 (serotype M12)","2006","GenBank","370553","GCA_000013525.1"
"spk","Streptococcus pyogenes MGAS9429 (serotype M12)","2006","GenBank","370551","GCA_000013485.1"
"spf","Streptococcus pyogenes Manfredo (serotype M5)","2007","GenBank","160491","GCA_000009385.1"
"spa","Streptococcus pyogenes MGAS10394 (serotype M6)","2004","GenBank","286636","GCA_000011665.1"
"spb","Streptococcus pyogenes MGAS6180 (serotype M28)","2005","GenBank","319701","GCA_000012165.1"
"stg","Streptococcus pyogenes MGAS15252 (serotype M59)","2012","GenBank","798300","GCA_000250905.1"
"soz","Streptococcus pyogenes NZ131 (serotype M49)","2008","GenBank","471876","GCA_000018125.1"
"stz","Streptococcus pyogenes Alab49 (serotype M53)","2012","GenBank","487215","GCA_000230295.1"
"stx","Streptococcus pyogenes MGAS1882","2012","GenBank","1010840","GCA_000250925.1"
"spya","Streptococcus pyogenes A20","2012","GenBank","1235829","GCA_000307535.1"
"spyh","Streptococcus pyogenes HSC5","2013","GenBank","1336746","GCA_000422045.1"
"spyo","Streptococcus pyogenes STAB901 (serotype M44)","2014","GenBank","1440772","GCA_000732385.1"
"spn","Streptococcus pneumoniae TIGR4 (virulent serotype 4)","2001","GenBank","170187","GCA_000006885.1"
"spd","Streptococcus pneumoniae D39 (virulent serotype 2)","2006","GenBank","373153","GCA_000014365.2"
"spr","Streptococcus pneumoniae R6 (avirulent)","2001","RefSeq","171101","GCF_000007045.1"
"spw","Streptococcus pneumoniae CGSP14 (serotype 14)","2008","GenBank","516950","GCA_000019985.1"
"spx","Streptococcus pneumoniae G54 (serotype 19F)","2008","GenBank","512566","GCA_000019825.1"
"sne","Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)","2009","GenBank","561276","GCA_000026665.1"
"spv","Streptococcus pneumoniae Hungary19A 6","2008","GenBank","487214","GCA_000019265.1"
"snm","Streptococcus pneumoniae 70585","2009","GenBank","488221","GCA_000018965.1"
"sjj","Streptococcus pneumoniae JJA","2009","GenBank","488222","GCA_000018985.1"
"spp","Streptococcus pneumoniae P1031","2009","GenBank","488223","GCA_000019005.1"
"snt","Streptococcus pneumoniae Taiwan19F-14","2009","GenBank","487213","GCA_000019025.1"
"snc","Streptococcus pneumoniae TCH8431/19A","2010","GenBank","525381","GCA_000196595.1"
"snb","Streptococcus pneumoniae 670-6B","2010","GenBank","189423","GCA_000147095.1"
"snp","Streptococcus pneumoniae AP200","2010","GenBank","574093","GCA_000146975.1"
"sni","Streptococcus pneumoniae INV104","2012","GenBank","869269","GCA_000210975.1"
"snv","Streptococcus pneumoniae INV200","2012","GenBank","869216","GCA_000210935.1"
"snx","Streptococcus pneumoniae OXC141","2012","GenBank","869215","GCA_000210955.1"
"snd","Streptococcus pneumoniae ST556","2012","GenBank","1130804","GCA_000251085.2"
"snu","Streptococcus pneumoniae SPNA45","2012","GenBank","869309","GCA_000180515.2"
"spng","Streptococcus pneumoniae gamPNI0373","2012","GenBank","697283","GCA_000299015.1"
"spne","Streptococcus pneumoniae SPN034156","2013","GenBank","869303","GCA_000210995.1"
"spnu","Streptococcus pneumoniae SPN034183","2013","GenBank","869304","GCA_000211015.1"
"spnm","Streptococcus pneumoniae SPN994038","2013","GenBank","869306","GCA_000211035.2"
"spno","Streptococcus pneumoniae SPN994039","2013","GenBank","869307","GCA_000211055.2"
"spnn","Streptococcus pneumoniae A026","2013","GenBank","1408179","GCA_000494795.1"
"sag","Streptococcus agalactiae 2603 (serotype V)","2002","RefSeq","208435","GCF_000007265.1"
"san","Streptococcus agalactiae NEM316 (serotype III)","2002","GenBank","211110","GCA_000196055.1"
"sak","Streptococcus agalactiae A909 (serotype Ia)","2005","GenBank","205921","GCA_000012705.1"
"sgc","Streptococcus agalactiae GD201008-001 (serotype Ia)","2012","GenBank","1203670","GCA_000299135.1"
"sags","Streptococcus agalactiae SA20-06","2012","GenBank","1311","GCA_000302475.3"
"sagl","Streptococcus agalactiae 2-22 (serotype Ib)","2013","GenBank","1261567","GCA_000967445.1"
"sagm","Streptococcus agalactiae 09mas018883","2013","GenBank","1309806","GCA_000427035.1"
"sagi","Streptococcus agalactiae ILRI005","2013","GenBank","1309807","GCA_000427075.1"
"sagr","Streptococcus agalactiae ILRI112","2013","GenBank","1318615","GCA_000427055.1"
"sagp","Streptococcus agalactiae 138P","2014","GenBank","1417990","GCA_000599965.1"
"sagc","Streptococcus agalactiae 138spar","2014","GenBank","1311","GCA_000636115.1"
"sagt","Streptococcus agalactiae COH1","2014","GenBank","342616","GCA_000689235.1"
"sage","Streptococcus agalactiae NGBS061","2015","GenBank","1311","GCA_000730215.2"
"sagg","Streptococcus agalactiae NGBS572","2015","GenBank","1311","GCA_000730255.1"
"sagn","Streptococcus agalactiae CNCTC 10/84","2015","GenBank","1427374","GCA_000782855.1"
"smu","Streptococcus mutans UA159","2002","RefSeq","210007","GCF_000007465.2"
"smc","Streptococcus mutans NN2025","2010","GenBank","511691","GCA_000091645.1"
"smj","Streptococcus mutans LJ23","2012","GenBank","1155071","GCA_000284575.1"
"smut","Streptococcus mutans GS-5","2012","GenBank","1198676","GCA_000271865.1"
"smua","Streptococcus mutans UA159-FR","2015","GenBank","1437447","GCA_000817065.1"
"stc","Streptococcus thermophilus CNRZ1066","2004","GenBank","299768","GCA_000011845.1"
"stl","Streptococcus thermophilus LMG18311","2004","GenBank","264199","GCA_000011825.1"
"ste","Streptococcus thermophilus LMD-9","2006","GenBank","322159","GCA_000014485.1"
"stn","Streptococcus thermophilus ND03","2012","GenBank","767463","GCA_000182875.1"
"stu","Streptococcus thermophilus JIM 8232","2012","GenBank","1051074","GCA_000253395.1"
"stw","Streptococcus thermophilus MN-ZLW-002","2012","GenBank","1187956","GCA_000262675.1"
"sthe","Streptococcus thermophilus ASCC 1275","2014","GenBank","1408178","GCA_000698885.1"
"sths","Streptococcus thermophilus S9","2017","GenBank","1308","GCA_001514435.1"
"ssa","Streptococcus sanguinis","2007","RefSeq","388919","GCF_000014205.1"
"ssb","Streptococcus suis BM407","2009","RefSeq","568814","GCF_000026745.1"
"ssu","Streptococcus suis 05ZYH33","2007","GenBank","391295","GCA_000014305.1"
"ssv","Streptococcus suis 98HAH33","2007","GenBank","391296","GCA_000014325.1"
"ssi","Streptococcus suis P1/7","2009","GenBank","218494","GCA_000091905.1"
"sss","Streptococcus suis SC84","2009","GenBank","568813","GCA_000026725.1"
"sst","Streptococcus suis ST3","2011","GenBank","1007064","GCA_000204625.1"
"ssf","Streptococcus suis A7","2012","GenBank","993512","GCA_000233575.1"
"ssk","Streptococcus suis D12","2012","GenBank","1004952","GCA_000231905.1"
"ssq","Streptococcus suis D9","2012","GenBank","1005042","GCA_000231885.1"
"ssw","Streptococcus suis GZ1","2012","GenBank","423211","GCA_000018185.1"
"sui","Streptococcus suis JS14","2012","GenBank","945704","GCA_000186405.1"
"suo","Streptococcus suis SS12","2012","GenBank","1005041","GCA_000231865.1"
"srp","Streptococcus suis ST1","2012","GenBank","1004951","GCA_000231925.1"
"sup","Streptococcus suis S735","2012","GenBank","1184252","GCA_000294495.1"
"ssus","Streptococcus suis SC070731","2013","GenBank","1246365","GCA_000344765.1"
"ssut","Streptococcus suis TL13","2013","GenBank","1276647","GCA_000390245.1"
"ssui","Streptococcus suis T15","2013","GenBank","1340847","GCA_000494895.1"
"ssuy","Streptococcus suis YB51","2014","GenBank","1380773","GCA_000471985.1"
"sgo","Streptococcus gordonii","2007","GenBank","467705","GCA_000017005.1"
"sez","Streptococcus equi subsp. zooepidemicus MGCS10565","2008","GenBank","552526","GCA_000020765.1"
"seq","Streptococcus equi subsp. zooepidemicus H70","2009","GenBank","40041","GCA_000026605.1"
"sezo","Streptococcus equi subsp. zooepidemicus ATCC 35246","2012","GenBank","1051072","GCA_000219765.1"
"sequ","Streptococcus equi subsp. zooepidemicus CY","2014","GenBank","1403449","GCA_000696505.1"
"seu","Streptococcus equi subsp. equi 4047","2009","GenBank","553482","GCA_000026585.1"
"sub","Streptococcus uberis","2009","GenBank","218495","GCA_000009545.1"
"sds","Streptococcus dysgalactiae subsp. equisimilis GGS_124","2009","GenBank","486410","GCA_000010705.1"
"sdg","Streptococcus dysgalactiae subsp. equisimilis ATCC 12394","2012","GenBank","663954","GCA_000188715.1"
"sda","Streptococcus dysgalactiae subsp. equisimilis RE378","2012","GenBank","617121","GCA_000307185.1"
"sdc","Streptococcus dysgalactiae subsp. equisimilis AC-2713","2012","GenBank","759913","GCA_000317855.1"
"sdq","Streptococcus dysgalactiae subsp. equisimilis 167","2013","GenBank","1247189","GCA_000493775.1"
"sga","Streptococcus gallolyticus UCN34","2010","GenBank","637909","GCA_000027185.1"
"sgg","Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069","2011","GenBank","990317","GCA_000203195.1"
"sgt","Streptococcus gallolyticus subsp. gallolyticus ATCC 43143","2012","GenBank","981539","GCA_000270145.1"
"smb","Streptococcus mitis","2010","RefSeq","365659","GCF_000027165.1"
"sor","Streptococcus oralis","2011","GenBank","927666","GCA_000253155.1"
"stk","Streptococcus parauberis","2011","GenBank","936154","GCA_000213825.1"
"stb","Streptococcus pasteurianus","2011","GenBank","981540","GCA_000270165.1"
"scp","Streptococcus parasanguinis ATCC 15912","2011","GenBank","760570","GCA_000164675.2"
"scf","Streptococcus parasanguinis FW213","2012","GenBank","1114965","GCA_000262145.1"
"ssr","Streptococcus salivarius CCHSS3","2011","GenBank","1048332","GCA_000253335.1"
"stf","Streptococcus salivarius 57.I","2012","GenBank","1046629","GCA_000305335.2"
"stj","Streptococcus salivarius JIM8777","2012","GenBank","347253","GCA_000253315.1"
"strs","Streptococcus salivarius NCTC 8618","2015","GenBank","1304","GCA_000785515.1"
"ssah","Streptococcus salivarius HSISS4","2017","GenBank","1304","GCA_000448685.2"
"std","Streptococcus pseudopneumoniae","2011","GenBank","1054460","GCA_000221985.1"
"smn","Streptococcus macedonicus","2012","GenBank","1116231","GCA_000283635.1"
"sif","Streptococcus infantarius","2012","GenBank","1069533","GCA_000246835.1"
"sie","Streptococcus intermedius JTH08","2012","GenBank","591365","GCA_000306805.1"
"sib","Streptococcus intermedius B196","2013","GenBank","862967","GCA_000463355.1"
"siu","Streptococcus intermedius C270","2013","GenBank","862966","GCA_000463385.1"
"sang","Streptococcus anginosus C1051","2013","GenBank","862970","GCA_000463465.1"
"sanc","Streptococcus anginosus C238","2013","GenBank","862971","GCA_000463505.1"
"sans","Streptococcus anginosus SA1","2015","GenBank","1328","GCA_000831165.1"
"scg","Streptococcus constellatus subsp. pharyngis C1050","2013","GenBank","862969","GCA_000463425.1"
"scon","Streptococcus constellatus subsp. pharyngis C232","2013","GenBank","696216","GCA_000463395.1"
"scos","Streptococcus constellatus subsp. pharyngis C818","2013","GenBank","862968","GCA_000463445.1"
"soi","Streptococcus cristatus","2013","GenBank","1302863","GCA_000385925.1"
"sik","Streptococcus iniae SF1","2013","GenBank","1318633","GCA_000403625.1"
"siq","Streptococcus iniae ISET0901","2014","GenBank","1346","GCA_000648525.1"
"sio","Streptococcus iniae ISNO","2014","GenBank","1346","GCA_000648555.1"
"siz","Streptococcus iniae SFST01-82","2015","GenBank","1346","GCA_000831485.1"
"slu","Streptococcus lutetiensis","2013","GenBank","1076934","GCA_000441535.1"
"sig","Streptococcus sp. I-G2","2013","GenBank","1156431","GCA_000479335.1"
"sip","Streptococcus sp. I-P16","2013","GenBank","1156433","GCA_000479315.1"
"stv","Streptococcus sp. VT 162","2014","GenBank","1419814","GCA_000688775.2"
