"Organism","Body Site","Project ID","CDS Count","Contig Count","Contig Locus Min","Contig Locus Max","Contig ASM","Contig CDS","Contig PEP","Contig GBK","Scaffold Count","Scaffold Locus Min","Scaffold Locus Max","Scaffold ASM","Scaffold CDS","Scaffold PEP","Scaffold GBK"
"Propionibacterium acnes HL110PA4","Skin","49193","5174","99","ADYF01000001","ADYF01000099","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.ADYF01000001-ADYF01000099.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.ADYF01000001-ADYF01000099.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.ADYF01000001-ADYF01000099.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.ADYF01000001-ADYF01000099.nuc.gbk","56","GL384029","GL384084","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.GL384029-GL384084.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.GL384029-GL384084.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.GL384029-GL384084.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49193/49193.GL384029-GL384084.nuc.gbk"
"Helicobacter pylori GAM260Bi","Gastrointestinal_tract","89261","3402","87","APDU01000001","APDU01000087","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.APDU01000001-APDU01000087.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.APDU01000001-APDU01000087.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.APDU01000001-APDU01000087.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.APDU01000001-APDU01000087.nuc.gbk","55","KB636829","KB636883","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.KB636829-KB636883.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.KB636829-KB636883.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.KB636829-KB636883.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89261/89261.KB636829-KB636883.nuc.gbk"
"Staphylococcus epidermidis NIHLM015","Unknown","62381","2288","43","AKGZ01000001","AKGZ01000043","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62381/62381.AKGZ01000001-AKGZ01000043.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62381/62381.AKGZ01000001-AKGZ01000043.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62381/62381.AKGZ01000001-AKGZ01000043.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/62381/62381.AKGZ01000001-AKGZ01000043.nuc.gbk","","","","","","",""
"Helicobacter pylori GAM245Ai","Gastrointestinal_tract","89243","3380","78","APDL01000001","APDL01000078","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.APDL01000001-APDL01000078.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.APDL01000001-APDL01000078.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.APDL01000001-APDL01000078.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.APDL01000001-APDL01000078.nuc.gbk","50","KB636503","KB636552","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.KB636503-KB636552.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.KB636503-KB636552.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.KB636503-KB636552.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89243/89243.KB636503-KB636552.nuc.gbk"
"Bilophila sp. 4_1_30","Gastrointestinal_tract","41961","8228","418","ADCO01000001","ADCO01000418","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.ADCO01000001-ADCO01000418.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.ADCO01000001-ADCO01000418.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.ADCO01000001-ADCO01000418.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.ADCO01000001-ADCO01000418.nuc.gbk","69","JH114231","JH114299","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.JH114231-JH114299.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.JH114231-JH114299.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.JH114231-JH114299.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41961/41961.JH114231-JH114299.nuc.gbk"
"Peptoniphilus lacrimalis 315-B","Urogenital_tract","34107","1589","71","ADDO01000001","ADDO01000071","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34107/34107.ADDO01000001-ADDO01000071.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34107/34107.ADDO01000001-ADDO01000071.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34107/34107.ADDO01000001-ADDO01000071.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34107/34107.ADDO01000001-ADDO01000071.nuc.gbk","","","","","","",""
"Fusobacterium periodonticum D10","Oral","34699","5248","429","ACIF01000001","ACIF01000429","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.ACIF01000001-ACIF01000429.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.ACIF01000001-ACIF01000429.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.ACIF01000001-ACIF01000429.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.ACIF01000001-ACIF01000429.nuc.gbk","150","JH815332","JH815481","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.JH815332-JH815481.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.JH815332-JH815481.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.JH815332-JH815481.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34699/34699.JH815332-JH815481.nuc.gbk"
"Bacteroidetes oral taxon 274 str. F0058","Oral","41957","1856","28","ADCM01000001","ADCM01000028","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.ADCM01000001-ADCM01000028.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.ADCM01000001-ADCM01000028.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.ADCM01000001-ADCM01000028.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.ADCM01000001-ADCM01000028.nuc.gbk","10","GG774889","GG774898","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.GG774889-GG774898.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.GG774889-GG774898.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.GG774889-GG774898.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41957/41957.GG774889-GG774898.nuc.gbk"
"Streptococcus sanguinis SK1059","Blood","53187","1422","1","GL890976","GL890976","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53187/53187.AFFM00000000.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53187/53187.AFFM00000000.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53187/53187.AFFM00000000.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53187/53187.AFFM00000000.nuc.gbk","","","","","","",""
"Streptococcus pyogenes GA16797","Skin","78643","1742","44","AWUD01000001","AWUD01000044","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78643/78643.AWUD01000001-AWUD01000044.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78643/78643.AWUD01000001-AWUD01000044.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78643/78643.AWUD01000001-AWUD01000044.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78643/78643.AWUD01000001-AWUD01000044.nuc.gbk","","","","","","",""
"Prevotella salivae DSM 15606","Gastrointestinal_tract","53199","2840","1","GL629647","GL629647","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53199/53199.AEQO00000000.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53199/53199.AEQO00000000.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53199/53199.AEQO00000000.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53199/53199.AEQO00000000.nuc.gbk","","","","","","",""
"Streptococcus infantis ATCC 700779","Airways","53205","","","AEVD01000000","AEVD01000000","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53205/53205.AEVD00000000.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53205/53205.AEVD00000000.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53205/53205.AEVD00000000.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53205/53205.AEVD00000000.nuc.gbk","","","","","","",""
"Helicobacter pylori 35A","Gastrointestinal_tract","34603","1470","","","","","","","","1","CP002096","CP002096","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34603/34603.CP002096.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34603/34603.CP002096.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34603/34603.CP002096.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34603/34603.CP002096.nuc.gbk"
"Weissella paramesenteroides ATCC 33313","Gastrointestinal_tract","34661","3904","36","ACKU01000001","ACKU01000036","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.ACKU01000001-ACKU01000036.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.ACKU01000001-ACKU01000036.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.ACKU01000001-ACKU01000036.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.ACKU01000001-ACKU01000036.nuc.gbk","13","GG697128","GG697140","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.GG697128-GG697140.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.GG697128-GG697140.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.GG697128-GG697140.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34661/34661.GG697128-GG697140.nuc.gbk"
"Oribacterium parvum ACB1","Unknown","49877","4258","4","AFZC02000001","AFZC02000004","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.AFZC02000001-AFZC02000004.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.AFZC02000001-AFZC02000004.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.AFZC02000001-AFZC02000004.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.AFZC02000001-AFZC02000004.nuc.gbk","2","KE148312","KE148313","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.KE148312-KE148313.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.KE148312-KE148313.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.KE148312-KE148313.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49877/49877.KE148312-KE148313.nuc.gbk"
"Propionibacterium acnes HL060PA1","Skin","49201","5090","47","ADYE01000001","ADYE01000047","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.ADYE01000001-ADYE01000047.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.ADYE01000001-ADYE01000047.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.ADYE01000001-ADYE01000047.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.ADYE01000001-ADYE01000047.nuc.gbk","14","GL384376","GL384389","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.GL384376-GL384389.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.GL384376-GL384389.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.GL384376-GL384389.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49201/49201.GL384376-GL384389.nuc.gbk"
"Eubacterium ventriosum ATCC 27560","Gastrointestinal_tract","18159","5604","38","AAVL02000001","AAVL02000038","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.AAVL02000001-AAVL02000038.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.AAVL02000001-AAVL02000038.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.AAVL02000001-AAVL02000038.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.AAVL02000001-AAVL02000038.nuc.gbk","27","DS264262","DS264288","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.DS264262-DS264288.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.DS264262-DS264288.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.DS264262-DS264288.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18159/18159.DS264262-DS264288.nuc.gbk"
"Lactobacillus hilgardii ATCC 8290","Gastrointestinal_tract","31489","5582","233","ACGP01000001","ACGP01000233","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.ACGP01000001-ACGP01000233.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.ACGP01000001-ACGP01000233.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.ACGP01000001-ACGP01000233.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.ACGP01000001-ACGP01000233.nuc.gbk","113","GG669992","GG670104","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.GG669992-GG670104.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.GG669992-GG670104.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.GG669992-GG670104.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31489/31489.GG669992-GG670104.nuc.gbk"
"Ruminococcus torques L2-14","Gastrointestinal_tract","39169","2798","","","","","","","","1","FP929055","FP929055","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39169/39169.FP929055.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39169/39169.FP929055.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39169/39169.FP929055.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39169/39169.FP929055.nuc.gbk"
"Propionibacterium acnes HL059PA1","Skin","49215","5014","40","ADYW01000001","ADYW01000040","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.ADYW01000001-ADYW01000040.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.ADYW01000001-ADYW01000040.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.ADYW01000001-ADYW01000040.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.ADYW01000001-ADYW01000040.nuc.gbk","20","GL383913","GL383932","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.GL383913-GL383932.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.GL383913-GL383932.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.GL383913-GL383932.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/49215/49215.GL383913-GL383932.nuc.gbk"
"Bacteroides finegoldii CL09T03C10","Unknown","64831","8402","16","AGXW01000001","AGXW01000016","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.AGXW01000001-AGXW01000016.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.AGXW01000001-AGXW01000016.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.AGXW01000001-AGXW01000016.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.AGXW01000001-AGXW01000016.nuc.gbk","6","JH951901","JH951906","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.JH951901-JH951906.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.JH951901-JH951906.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.JH951901-JH951906.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64831/64831.JH951901-JH951906.nuc.gbk"
"Lachnoanaerobaculum saburreum DSM 3986","Oral","52981","5908","150","AEPW01000001","AEPW01000150","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.AEPW01000001-AEPW01000150.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.AEPW01000001-AEPW01000150.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.AEPW01000001-AEPW01000150.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.AEPW01000001-AEPW01000150.nuc.gbk","37","GL622296","GL622332","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.GL622296-GL622332.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.GL622296-GL622332.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.GL622296-GL622332.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52981/52981.GL622296-GL622332.nuc.gbk"
"Lactobacillus rhamnosus ATCC 21052","Gastrointestinal_tract","65127","6028","123","AFZY01000001","AFZY01000123","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.AFZY01000001-AFZY01000123.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.AFZY01000001-AFZY01000123.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.AFZY01000001-AFZY01000123.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.AFZY01000001-AFZY01000123.nuc.gbk","42","JH379478","JH379519","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.JH379478-JH379519.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.JH379478-JH379519.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.JH379478-JH379519.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/65127/65127.JH379478-JH379519.nuc.gbk"
"Streptococcus mitis ATCC 6249","Oral","50515","3586","20","AEEN01000001","AEEN01000020","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.AEEN01000001-AEEN01000020.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.AEEN01000001-AEEN01000020.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.AEEN01000001-AEEN01000020.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.AEEN01000001-AEEN01000020.nuc.gbk","8","GL397179","GL397186","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.GL397179-GL397186.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.GL397179-GL397186.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.GL397179-GL397186.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/50515/50515.GL397179-GL397186.nuc.gbk"
"Klebsiella sp. OBRC7","Oral","78567","6263","158","ALNJ01000001","ALNJ01000158","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78567/78567.ALNJ01000001-ALNJ01000158.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78567/78567.ALNJ01000001-ALNJ01000158.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78567/78567.ALNJ01000001-ALNJ01000158.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78567/78567.ALNJ01000001-ALNJ01000158.nuc.gbk","","","","","","",""
"Campylobacter rectus RM3267","Oral","31017","2971","89","ACFU01000001","ACFU01000089","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31017/31017.ACFU01000001-ACFU01000089.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31017/31017.ACFU01000001-ACFU01000089.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31017/31017.ACFU01000001-ACFU01000089.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31017/31017.ACFU01000001-ACFU01000089.nuc.gbk","","","","","","",""
"Rhodococcus equi ATCC 33707","Skin","31525","5030","","","","","","","","1","CM001149","CM001149","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31525/31525.CM001149.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31525/31525.CM001149.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31525/31525.CM001149.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31525/31525.CM001149.nuc.gbk"
